threshold,sensitivity,fpr,1-fpr,1-sens
inf,0.0,0.0,1.0,1.0
0.8637953,0.0,0.016129032258064516,0.9838709677419355,1.0
0.18187097,0.0,0.46774193548387094,0.532258064516129,1.0
0.17626196,0.0,0.5,0.5,1.0
0.16195428,0.25,0.5,0.5,0.75
0.11277157,0.25,0.532258064516129,0.467741935483871,0.75
0.11049543,0.5,0.532258064516129,0.467741935483871,0.5
0.07936434,0.5,0.6612903225806451,0.33870967741935487,0.5
0.07791799,0.5,0.6935483870967742,0.30645161290322576,0.5
0.07035646,0.5,0.7258064516129032,0.27419354838709675,0.5
0.06092494,0.75,0.7258064516129032,0.27419354838709675,0.25
0.042847678,0.75,0.8225806451612904,0.17741935483870963,0.25
0.03827309,1.0,0.8225806451612904,0.17741935483870963,0.0
0.03701674,1.0,0.8870967741935484,0.11290322580645162,0.0
0.0027042802,1.0,1.0,0.0,0.0
