threshold,sensitivity,fpr,1-fpr,1-sens
inf,0.0,0.0,1.0,1.0
0.35703522,0.0,0.016666666666666666,0.9833333333333333,1.0
0.1285682,0.2,0.016666666666666666,0.9833333333333333,0.8
0.08193668,0.2,0.05,0.95,0.8
0.07563405,0.2,0.08333333333333333,0.9166666666666666,0.8
0.07346473,0.2,0.11666666666666667,0.8833333333333333,0.8
0.06987859,0.4,0.11666666666666667,0.8833333333333333,0.6
0.024202548,0.4,0.35,0.65,0.6
0.022748377,0.6,0.35,0.65,0.4
0.008882448,0.6,0.6333333333333333,0.3666666666666667,0.4
0.0075205932,0.8,0.6333333333333333,0.3666666666666667,0.19999999999999996
0.0067446157,0.8,0.65,0.35,0.19999999999999996
0.005814422,0.8,0.6833333333333333,0.31666666666666665,0.19999999999999996
0.0047657797,0.8,0.7666666666666667,0.23333333333333328,0.19999999999999996
0.0046228254,1.0,0.7666666666666667,0.23333333333333328,0.0
0.0037939833,1.0,0.8333333333333334,0.16666666666666663,0.0
0.003586551,1.0,0.8666666666666667,0.1333333333333333,0.0
0.0017628999,1.0,0.9333333333333333,0.06666666666666665,0.0
0.0017387508,1.0,0.9666666666666667,0.033333333333333326,0.0
0.0006858955,1.0,1.0,0.0,0.0
