threshold,sensitivity,fpr,1-fpr,1-sens
inf,0.0,0.0,1.0,1.0
0.044951405,0.0,0.015384615384615385,0.9846153846153847,1.0
0.01973657,0.0,0.15384615384615385,0.8461538461538461,1.0
0.015994838,0.0,0.18461538461538463,0.8153846153846154,1.0
0.011490154,0.0,0.2923076923076923,0.7076923076923076,1.0
0.011039492,0.0,0.3230769230769231,0.676923076923077,1.0
0.005411279,0.0,0.49230769230769234,0.5076923076923077,1.0
0.005353961,0.0,0.5384615384615384,0.46153846153846156,1.0
0.0043844325,0.5,0.5384615384615384,0.46153846153846156,0.5
0.00238816,0.5,0.7692307692307693,0.23076923076923073,0.5
0.0023764533,1.0,0.8,0.19999999999999996,0.0
0.0018337946,1.0,0.8923076923076924,0.10769230769230764,0.0
0.0011434447,1.0,0.9230769230769231,0.07692307692307687,0.0
0.00052974955,1.0,1.0,0.0,0.0
