threshold,sensitivity,fpr,1-fpr,1-sens
inf,0.0,0.0,1.0,1.0
0.18177012,0.0,0.007751937984496124,0.9922480620155039,1.0
0.008200129,0.0,0.20930232558139536,0.7906976744186046,1.0
0.006817914,0.0,0.2248062015503876,0.7751937984496124,1.0
0.006120135,0.0,0.24031007751937986,0.7596899224806202,1.0
0.0059861382,0.25,0.24031007751937986,0.7596899224806202,0.75
0.003308458,0.25,0.5038759689922481,0.49612403100775193,0.75
0.003084717,0.5,0.5038759689922481,0.49612403100775193,0.5
0.0026036138,0.5,0.5736434108527132,0.4263565891472868,0.5
0.0025775502,0.5,0.5891472868217055,0.4108527131782945,0.5
0.0022716292,0.5,0.6356589147286822,0.3643410852713178,0.5
0.002165222,0.75,0.6356589147286822,0.3643410852713178,0.25
0.0015232785,0.75,0.7209302325581395,0.2790697674418605,0.25
0.0014944929,0.75,0.7364341085271318,0.26356589147286824,0.25
0.00082047057,0.75,0.8837209302325582,0.11627906976744184,0.25
0.0007547383,1.0,0.8837209302325582,0.11627906976744184,0.0
0.00019754314,1.0,1.0,0.0,0.0
