threshold,sensitivity,fpr,1-fpr,1-sens
inf,0.0,0.0,1.0,1.0
0.81793064,0.0,0.016666666666666666,0.9833333333333333,1.0
0.52275276,0.0,0.05,0.95,1.0
0.5112223,0.07142857142857142,0.05,0.95,0.9285714285714286
0.3825532,0.07142857142857142,0.1,0.9,0.9285714285714286
0.34061435,0.14285714285714285,0.1,0.9,0.8571428571428572
0.2571525,0.14285714285714285,0.16666666666666666,0.8333333333333334,0.8571428571428572
0.22730729,0.2857142857142857,0.16666666666666666,0.8333333333333334,0.7142857142857143
0.17860831,0.2857142857142857,0.2833333333333333,0.7166666666666667,0.7142857142857143
0.17521761,0.35714285714285715,0.2833333333333333,0.7166666666666667,0.6428571428571428
0.1280227,0.35714285714285715,0.4166666666666667,0.5833333333333333,0.6428571428571428
0.12222227,0.42857142857142855,0.4166666666666667,0.5833333333333333,0.5714285714285714
0.09210377,0.42857142857142855,0.5166666666666667,0.4833333333333333,0.5714285714285714
0.08874869,0.5,0.5166666666666667,0.4833333333333333,0.5
0.05022344,0.5,0.65,0.35,0.5
0.04628239,0.5714285714285714,0.65,0.35,0.4285714285714286
0.044546716,0.5714285714285714,0.6833333333333333,0.31666666666666665,0.4285714285714286
0.042398475,0.6428571428571429,0.6833333333333333,0.31666666666666665,0.3571428571428571
0.04058179,0.6428571428571429,0.7166666666666667,0.2833333333333333,0.3571428571428571
0.03998234,0.6428571428571429,0.75,0.25,0.3571428571428571
0.03462056,0.8571428571428571,0.75,0.25,0.1428571428571429
0.033731665,0.8571428571428571,0.7833333333333333,0.21666666666666667,0.1428571428571429
0.02905806,0.9285714285714286,0.8,0.19999999999999996,0.0714285714285714
0.018047377,0.9285714285714286,0.8833333333333333,0.1166666666666667,0.0714285714285714
0.01690705,1.0,0.9,0.09999999999999998,0.0
0.015039832,1.0,0.9333333333333333,0.06666666666666665,0.0
0.0017060733,1.0,1.0,0.0,0.0
