threshold,sensitivity,fpr,1-fpr,1-sens
inf,0.0,0.0,1.0,1.0
0.5968078,0.0,0.00030102347983142685,0.9996989765201686,1.0
0.44399336,0.001519756838905775,0.00030102347983142685,0.9996989765201686,0.9984802431610942
0.39563146,0.001519756838905775,0.0006020469596628537,0.9993979530403372,0.9984802431610942
0.36529684,0.00303951367781155,0.0006020469596628537,0.9993979530403372,0.9969604863221885
0.35786498,0.00303951367781155,0.0009030704394942806,0.9990969295605057,0.9969604863221885
0.32265046,0.0060790273556231,0.0009030704394942806,0.9990969295605057,0.993920972644377
0.3089237,0.0060790273556231,0.0012040939193257074,0.9987959060806743,0.993920972644377
0.30201375,0.00911854103343465,0.0012040939193257074,0.9987959060806743,0.9908814589665653
0.29933652,0.00911854103343465,0.0015051173991571343,0.9984948826008428,0.9908814589665653
0.27811182,0.010638297872340425,0.0015051173991571343,0.9984948826008428,0.9893617021276596
0.2766167,0.010638297872340425,0.002107164358819988,0.99789283564118,0.9893617021276596
0.26444384,0.013677811550151976,0.002107164358819988,0.99789283564118,0.986322188449848
0.25703183,0.013677811550151976,0.0030102347983142685,0.9969897652016857,0.986322188449848
0.24781518,0.015197568389057751,0.0030102347983142685,0.9969897652016857,0.9848024316109423
0.24491414,0.015197568389057751,0.003612281757977122,0.9963877182420229,0.9848024316109423
0.24100813,0.016717325227963525,0.0039133052378085495,0.9960866947621915,0.9832826747720365
0.23748964,0.0182370820668693,0.0039133052378085495,0.9960866947621915,0.9817629179331308
0.23308747,0.0182370820668693,0.004214328717639976,0.9957856712823601,0.9817629179331308
0.21013509,0.019756838905775075,0.004214328717639976,0.9957856712823601,0.9802431610942249
0.20836371,0.019756838905775075,0.004515352197471403,0.9954846478025285,0.9802431610942249
0.20694733,0.02127659574468085,0.004515352197471403,0.9954846478025285,0.9787234042553191
0.2061675,0.02127659574468085,0.00481637567730283,0.9951836243226971,0.9787234042553191
0.20456994,0.022796352583586626,0.005117399157134257,0.9948826008428657,0.9772036474164134
0.20376477,0.0243161094224924,0.005117399157134257,0.9948826008428657,0.9756838905775076
0.20354351,0.0243161094224924,0.005418422636965683,0.9945815773630343,0.9756838905775076
0.20300952,0.025835866261398176,0.005719446116797111,0.9942805538832029,0.9741641337386018
0.20173877,0.02735562310030395,0.006321493076459964,0.99367850692354,0.9726443768996961
0.20099233,0.02735562310030395,0.006622516556291391,0.9933774834437086,0.9726443768996961
0.19817215,0.028875379939209727,0.006622516556291391,0.9933774834437086,0.9711246200607903
0.19725348,0.028875379939209727,0.007224563515954244,0.9927754364840458,0.9711246200607903
0.19724803,0.028875379939209727,0.007826610475617099,0.9921733895243829,0.9711246200607903
0.19435063,0.028875379939209727,0.008428657435279952,0.99157134256472,0.9711246200607903
0.1938564,0.030395136778115502,0.008729680915111379,0.9912703190848886,0.9696048632218845
0.19360866,0.030395136778115502,0.009030704394942806,0.9909692956050572,0.9696048632218845
0.19296435,0.031914893617021274,0.009030704394942806,0.9909692956050572,0.9680851063829787
0.19073926,0.031914893617021274,0.009933774834437087,0.9900662251655629,0.9680851063829787
0.19026329,0.034954407294832825,0.010234798314268514,0.9897652016857315,0.9650455927051672
0.1900532,0.0364741641337386,0.010234798314268514,0.9897652016857315,0.9635258358662614
0.18734182,0.0364741641337386,0.010836845273931367,0.9891631547260686,0.9635258358662614
0.18727264,0.037993920972644375,0.010836845273931367,0.9891631547260686,0.9620060790273556
0.18707374,0.037993920972644375,0.011137868753762794,0.9888621312462372,0.9620060790273556
0.18690373,0.03951367781155015,0.011137868753762794,0.9888621312462372,0.9604863221884499
0.18661423,0.03951367781155015,0.011438892233594221,0.9885611077664058,0.9604863221884499
0.18470992,0.041033434650455926,0.011739915713425647,0.9882600842865743,0.958966565349544
0.18399918,0.041033434650455926,0.012341962673088501,0.9876580373269115,0.958966565349544
0.18148516,0.041033434650455926,0.013245033112582781,0.9867549668874173,0.958966565349544
0.18086739,0.041033434650455926,0.013546056592414209,0.9864539434075857,0.958966565349544
0.18081222,0.0425531914893617,0.013546056592414209,0.9864539434075857,0.9574468085106383
0.17989522,0.04559270516717325,0.013847080072245636,0.9861529199277543,0.9544072948328267
0.17561087,0.04559270516717325,0.015352197471402769,0.9846478025285972,0.9544072948328267
0.17503253,0.04711246200607903,0.015352197471402769,0.9846478025285972,0.952887537993921
0.17251135,0.04711246200607903,0.01625526791089705,0.983744732089103,0.952887537993921
0.17197973,0.0486322188449848,0.01625526791089705,0.983744732089103,0.9513677811550152
0.171714,0.0486322188449848,0.016857314870559904,0.9831426851294401,0.9513677811550152
0.17158934,0.0486322188449848,0.01715833835039133,0.9828416616496086,0.9513677811550152
0.1708222,0.05167173252279635,0.017760385310054184,0.9822396146899458,0.9483282674772037
0.17036432,0.05167173252279635,0.018061408789885613,0.9819385912101144,0.9483282674772037
0.16932112,0.05319148936170213,0.018061408789885613,0.9819385912101144,0.9468085106382979
0.16866645,0.05319148936170213,0.018964479229379893,0.9810355207706201,0.9468085106382979
0.16853385,0.05927051671732523,0.018964479229379893,0.9810355207706201,0.9407294832826748
0.16795318,0.05927051671732523,0.0201685731487056,0.9798314268512944,0.9407294832826748
0.16779,0.060790273556231005,0.0201685731487056,0.9798314268512944,0.939209726443769
0.1669147,0.060790273556231005,0.020770620108368453,0.9792293798916315,0.939209726443769
0.16553415,0.06231003039513678,0.02107164358819988,0.9789283564118001,0.9376899696048632
0.16294685,0.06231003039513678,0.02197471402769416,0.9780252859723059,0.9376899696048632
