week_start,delay_symptoms_prereg,delay_prereg_test,delay_test_reception,incubation_time,n_obs
2020-11-16,2.2303498467312006,0.7298774259960719,1.2048445787738498,6.3,33
2020-11-23,2.325348917824074,0.7692691377314814,0.8342906674382716,6.3,24
2020-11-30,2.8125403047839503,0.7726448804012346,0.5482320100308642,6.3,15
2020-12-07,2.513491761739418,0.6571431588955026,0.46858728670634925,6.3,14
2020-12-14,1.8711737743882275,0.7406813843419313,0.4849597503306879,6.3,28
2020-12-21,1.7325002620489078,0.7220937550451092,0.413817121320038,6.3,39
2020-12-28,1.9004207431632212,0.7221567762166237,0.4022207286283377,6.3,43
2021-01-04,1.8611003676146385,0.8148255583112876,0.41394853835978845,6.3,42
2021-01-11,1.7789791131365742,0.8885556090856482,0.3672865678047839,6.3,24
2021-01-18,2.8314974025848763,0.9827387085262345,0.4254715779320988,6.3,12
2021-01-25,1.9967010929232807,1.0335568435846563,0.45723954117063487,6.3,14
2021-02-01,1.8179131712962964,0.7267296858465608,0.4044533746693122,6.3,21
2021-02-08,1.9486115802744706,0.6066959594080688,0.4344881960978836,6.3,28
2021-02-15,1.6922731910774411,0.5385348897306398,0.4170148118686869,5.0,55
2021-02-22,1.8209181376591435,0.4934626493778935,0.41338887731481483,5.0,96
2021-03-01,2.060672021537253,0.5302961396063461,0.4379629251949318,5.0,171
2021-03-08,2.0665264368448635,0.5374829971174003,0.4720783255153738,5.0,265
2021-03-15,2.0898075294962553,0.5740505806914948,0.4387107388170719,5.0,361
2021-03-22,2.106340339713315,0.5523409926257353,0.41836246178225206,5.0,447
2021-03-29,2.014727985370765,0.5329206760838664,0.4001209657565347,5.0,469
2021-04-05,2.0234437604638513,0.5322283684996447,0.35802262662092543,5.0,417
2021-04-12,2.003391204703932,0.5041533769147234,0.35882062017746913,5.0,324
2021-04-19,1.9439305202141444,0.5753310252819692,0.47486711953208355,5.0,243
2021-04-26,2.1007926153713554,0.6456982238721435,0.49875289616578006,5.0,188
2021-05-03,2.101407310008095,0.6537915363792753,0.5167081231658571,5.0,183
2021-05-10,2.171288993173059,0.659365265146174,0.4962429693081406,5.0,197
2021-05-17,2.121532554713805,0.6633010757080611,0.3554792799316696,5.0,187
2021-05-24,2.0373082754629626,0.6584802550029869,0.4162780216547192,5.0,155
2021-05-31,1.903978436324508,0.7399017720088252,0.45232477195457177,5.0,128
2021-06-07,1.6995634180402925,0.7780006845238093,0.527648703576516,5.0,91
2021-06-14,1.9829283537688078,0.8475837990089699,0.5808424034288194,5.0,64
2021-06-21,2.134316208983106,1.23593232902859,0.7875583599333983,5.0,57
2021-06-28,2.1721839636752134,1.5356151816239316,2.1446438403668093,4.8,52
2021-07-05,2.2862321938856964,1.447005354007024,1.9101362777378674,4.8,58
2021-07-12,2.378571949233716,1.4783485488505743,1.9302602095306514,4.8,58
2021-07-19,2.3238632135770976,1.2611708000283446,1.8342088189720331,4.8,49
2021-07-26,2.4611361307870374,1.1050675729166668,0.3434902332175926,4.8,60
2021-08-02,2.445875805175511,1.004994841590658,0.35035629525981205,4.8,67
2021-08-09,2.1853923642526456,0.8850441436838625,0.3304209523809523,4.8,70
2021-08-16,2.1736942001488098,0.8394506411210317,0.7744533420138888,4.8,84
