week_start,ap,roc_auc,n_patients,pos_rate,median_R_mean,negative,positive,undecided,delay_symptoms_prereg,delay_prereg_test,delay_test_reception,incubation_time,n_obs,Re_classic,relevant_questions,phase,Re,T,FNR_B,release,test,isolate,test_pos
2020-11-16,0.2655219358646468,0.7430232558139535,96,0.1041666666666666,0.8706909829801176,126,13,0,2.2303498467312006,0.7298774259960719,1.2048445787738498,6.3,33.0,0.8034649,"['n_reported_contacts', 'test_criterion', 'time_since_exposure']",stable,0.836207,8.0,0.8,88,8,0,2
2020-11-23,0.1987441987441987,0.7457627118644068,62,0.0483870967741935,1.0454722746385627,99,5,0,2.325348917824074,0.7692691377314814,0.8342906674382716,6.3,24.0,0.9548954,"['n_reported_contacts', 'test_criterion', 'time_since_exposure']",stable,1.045472,5.0,1.0,60,2,0,0
2020-11-30,0.1574700716980171,0.4520408163265306,59,0.1694915254237288,1.0924756162276272,93,11,0,2.8125403047839503,0.7726448804012346,0.5482320100308642,6.3,15.0,1.006796,"['n_reported_contacts', 'test_criterion', 'symptoms_start_date']",stable,1.056738,28.0,0.8,34,25,0,2
2020-12-07,0.069755748636805,0.2759938837920489,121,0.0991735537190082,0.9029069671065374,199,17,2,2.513491761739418,0.6571431588955026,0.4685872867063492,6.3,14.0,0.8132189,"['n_reported_contacts', 'test_criterion']",stable,0.8738194,93.0,0.8333333333333334,70,51,0,2
2020-12-14,0.2093618675763274,0.6600694444444444,132,0.0909090909090909,0.7750140011123755,208,16,5,1.8711737743882275,0.7406813843419313,0.4849597503306879,6.3,28.0,0.6768951,"['n_reported_contacts', 'symptoms_start_date']",stable,0.7431983,26.0,0.8333333333333334,117,15,0,2
2020-12-21,0.0559050324675324,0.3548387096774194,66,0.0606060606060606,1.0621136063251662,119,5,1,1.7325002620489078,0.7220937550451092,0.413817121320038,6.3,39.0,0.9139636,"['symptoms_start_date', 'n_reported_contacts', 'do_have_symptoms']",stable,1.062114,60.0,1.0,35,31,0,0
2020-12-28,0.2080999066293184,0.6233333333333333,65,0.0769230769230769,1.1175338483836803,132,6,1,1.9004207431632207,0.7221567762166237,0.4022207286283377,6.3,43.0,0.9716122,"['do_have_symptoms', 'test_criterion', 'symptoms_start_date']",stable,1.063981,3.0,0.8,57,8,0,1
2021-01-04,0.0255035737491877,0.6759776536312849,181,0.011049723756906,1.0068782424613472,466,10,3,1.8611003676146385,0.8148255583112876,0.4139485383597884,6.3,42.0,0.8790229,"['n_reported_contacts', 'symptoms_start_date', 'test_criterion']",stable,1.006878,101.0,1.0,144,37,0,0
2021-01-11,0.0631946601439146,0.4407407407407407,139,0.0287769784172661,1.0912654107943074,431,9,5,1.7789791131365742,0.8885556090856482,0.3672865678047839,6.3,24.0,0.9493824,"['n_reported_contacts', 'test_criterion']",stable,1.091265,18.0,1.0,135,4,0,0
2021-01-18,0.0324074074074074,0.3384615384615385,67,0.0298507462686567,1.0270837043261212,205,3,2,2.8314974025848763,0.9827387085262344,0.4254715779320988,6.3,12.0,0.9506713,['n_reported_contacts'],stable,1.027084,111.0,1.0,32,35,0,0
